title,description,priority,layer,gherkin_scenarios,acceptance_criteria
"M-04-Ticket-02: Implement CalculateStatusUseCase (TDD)","Implement semaphore status calculation use case with TDD. Calculate GREEN (>90d), YELLOW (≤30d), RED (≤15d).",High,Domain,"Scenario: Calculate GREEN status for expiry >90 days
  Given expiry date is 95 days from today
  When calculate status
  Then the result must be GREEN (>90d)

Scenario: Calculate YELLOW status for expiry ≤30 days and >15 days
  Given expiry date is 25 days from today
  When calculate status
  Then the result must be YELLOW (≤30d)

Scenario: Calculate RED status for expiry ≤15 days
  Given expiry date is 10 days from today
  When calculate status
  Then the result must be RED (≤15d)","[ ] Returns GREEN for expiry >90 days
[ ] Returns YELLOW for expiry ≤30 days and >15 days
[ ] Returns RED for expiry ≤15 days
[ ] UNIT TESTING (MANDATORY): ≥90% coverage"
"M-04-Ticket-03: Implement UpsertStockUseCase (TDD)","Implement upsert logic use case with TDD. Aggregate quantity for existing batch, create new batch for unique EAN+expiryDate combination.",High,Domain,"Scenario: Upsert adds quantity to existing batch
  Given repository has batch with EAN=""123"" expiryDate=""2026-07-01"" quantity=10
  When upsert is called with EAN=""123"" expiryDate=""2026-07-01"" quantity=5
  Then the repository must update quantity to 15 (10+5)
  And no new record must be created

Scenario: Upsert creates new batch for unique combination
  Given repository has no batch with EAN=""456"" expiryDate=""2026-08-01""
  When upsert is called with EAN=""456"" expiryDate=""2026-08-01"" quantity=20
  Then the repository must create new record with quantity=20","[ ] Upsert adds quantity to existing batch
[ ] Upsert creates new batch for unique combination
[ ] Prevents duplicate records
[ ] UNIT TESTING (MANDATORY): ≥90% coverage"
"M-04-Ticket-04: Implement GetSemaphoreCountersUseCase (TDD)","Implement semaphore counters query use case with TDD. Return GREEN, YELLOW, RED counts.",High,Domain,"Scenario: Get counters from repository
  Given database contains 5 GREEN, 3 YELLOW, 2 RED records
  When getSemaphoreCounters is called
  Then the result must be SemaphoreCounters(green=5, yellow=3, red=2)
  And the result must update reactively when database changes

Scenario: Handle empty database
  Given database contains no records
  When getSemaphoreCounters is called
  Then the result must be SemaphoreCounters(green=0, yellow=0, red=0)","[ ] Returns correct counts for each status
[ ] Updates reactively when database changes
[ ] Handles empty database
[ ] UNIT TESTING (MANDATORY): ≥90% coverage"
"M-05-Ticket-01: Implement ScannerViewModel State Management","Update ScannerViewModel with ProductNotFound state and dynamic registration flow integration.",High,Presentation,"Scenario: ProductNotFound state triggers when EAN not found
  Given user scans EAN that doesn't exist
  When onBarcodeScanned is called
  Then state must be ProductNotFound(ean)
  And Bottom Sheet must be shown

Scenario: Registration success transitions to ProductFound
  Given user registers new product with valid data
  When onRegisterProduct completes
  Then state must be ProductFound(product)
  And flow must advance to date/qty capture","[ ] ScannerState sealed class with ProductNotFound state
[ ] onBarcodeScanned(ean) method checks if product exists
[ ] onRegisterProduct(ean, name, packSize) method
[ ] onCancelRegistration() method
[ ] State transitions: Scanning → ProductFound → ProductNotFound → RegisteringProduct → ProductFound"
"M-05-Ticket-02: Implement ProductRegistrationBottomSheet","Create thumb zone Composable (56dp tap targets) with auto-focus, validation, and one-handed layout.",High,Presentation,"Scenario: Validación en tiempo real del nombre
  Given el usuario escribe ""AB"" en el campo Nombre
  When el campo pierde el foco
  Then el sistema debe mostrar mensaje de ayuda ""Mínimo 3 caracteres""
  And el botón Guardar debe estar deshabilitado
  When el usuario escribe ""Barra de Proteína""
  Then el mensaje de ayuda debe desaparecer
  And el botón Guardar debe estar habilitado

Scenario: Botones en zona del pulgar
  Given pantalla XCover7 de 690dp de altura
  When Bottom Sheet se renderiza
  Then botones deben estar en bottom 20% (~138dp)
  And botones deben ser al menos 48dp × 48dp","[ ] Bottom Sheet with ModalBottomSheetLayout
[ ] EAN field (read-only, shows scanned value)
[ ] Name field (auto-focus, 3-100 chars validation)
[ ] PackSize field (numeric keyboard, >0 validation)
[ ] Cancel button (48dp, secondary color)
[ ] Save button (48dp, primary color, enabled/disabled state)
[ ] Validation error messages in Spanish
[ ] imePadding() for keyboard handling
[ ] Buttons in bottom 20% (thumb zone)
[ ] Renders in <200ms"
"M-05-Ticket-03: Integrate ProductRegistrationBottomSheet with ScannerScreen","Update ScannerScreen to handle ProductNotFound state and show ProductRegistrationBottomSheet.",High,Presentation,"Scenario: Bottom Sheet se muestra cuando producto no existe
  Given usuario escanea EAN que no existe
  When ScannerViewModel cambia a ProductNotFound
  Then ProductRegistrationBottomSheet debe aparecer
  And cámara debe pausarse
  And EAN debe estar pre-cargado en el campo

Scenario: Cámara se reanuda después de registro
  Given Bottom Sheet está abierto
  When usuario toca Guardar y registro es exitoso
  Then Bottom Sheet debe cerrarse
  And cámara debe reanudarse
  And flujo debe avanzar a captura de fecha/cantidad","[ ] ScannerScreen observes ScannerViewModel state
[ ] Shows ProductRegistrationBottomSheet when state is ProductNotFound
[ ] Passes EAN, onRegister, onCancel callbacks
[ ] Pauses camera when Bottom Sheet is open
[ ] Resumes camera after registration or cancel"
"M-05-Ticket-04: Implement Dashboard with Semaphore Counters","Create dashboard Composable with semáforo counters and stock list.",High,Presentation,"Scenario: Dashboard loads with counters in <1 second
  Given user opens dashboard screen
  When dashboard loads
  Then semaphore counters must be displayed in <1 second
  And GREEN, YELLOW, RED counts must be prominently visible

Scenario: Tap GREEN counter filters list
  Given dashboard displays GREEN counter with value=5
  When user taps GREEN counter
  Then the stock list must show only GREEN records (expiry >90d)","[ ] Dashboard loads with counters in <1 second
[ ] GREEN, YELLOW, RED counts prominently displayed
[ ] Tap on counter filters list
[ ] Stock list shows products for selected status
[ ] One-handed layout optimization"
"M-05-Ticket-05: Implement History Screen with Search","Create history Composable with searchable stock list and filters.",High,Presentation,"Scenario: Search filters list in <500ms
  Given stock list contains 100+ records
  When user types search query ""protein""
  Then the list must filter results in <500ms
  And only matching products must be displayed

Scenario: Apply status filter
  Given user selects RED status filter
  When filter is applied
  Then the list must show only RED records (expiry ≤15d)","[ ] Search filters list in <500ms
[ ] Status filter (GREEN, YELLOW, RED)
[ ] Sort by expiry date, quantity
[ ] One-handed layout optimization"
"M-05-Ticket-06: Implement One-Handed Layout Optimizations","Optimize all screens for one-handed use on Samsung XCover7 (thumb zone at bottom 20%).",Medium,Presentation,"Scenario: Primary actions in thumb zone (bottom 20%)
  Given screen displays 6.3"" XCover7 display
  Then primary action buttons must be in bottom 20% of screen
  And buttons must be at least 48dp × 48dp for easy thumb access

Scenario: High contrast colors for readability
  Given warehouse lighting is low (100-200 lux)
  When screen is displayed
  Then text must have high contrast ratio (>4.5:1)
  And semáforo colors must be easily distinguishable","[ ] Primary actions in bottom 20% of screen
[ ] Buttons at least 48dp × 48dp
[ ] High contrast colors (>4.5:1)
[ ] Semáforo colors easily distinguishable
[ ] Tested on XCover7 device"
"M-06-Ticket-01: Implement Daily Semaphore Update Worker","Create WorkManager worker for daily status recalculation at 06:00 AM.",High,Data,"Scenario: Worker executes on schedule at 06:00 AM
  Given it is 06:00 AM and the device is on
  When the worker runs
  Then all ActiveStock records must be queried
  And semaphore status must be recalculated for each record
  And the update must complete within 10 seconds

Scenario: Worker does not run when battery is low
  Given battery level is <15%
  When 06:00 AM arrives
  Then the worker must be skipped (constraint: requiresBatteryNotLow)
  And status must be deferred until battery is >15%","[ ] Worker executes on schedule at 06:00 AM
[ ] Queries all ActiveStock records
[ ] Recalculates semaphore status for each record
[ ] Updates status in database
[ ] Completes within 10 seconds
[ ] Skips when battery is low (<15%)"
"M-06-Ticket-02: Implement Post-Boot Initialization","Configure WorkManager to run worker 6 hours after device boot.",High,Data,"Scenario: Worker runs 6 hours after device restart
  Given device boots up at 10:00 AM
  When 6 hours elapse
  Then the semaphore update worker must execute
  And all statuses must be recalculated

Scenario: Worker respects retry policy
  Given worker fails to update (e.g., database locked)
  When retry policy applies
  Then worker must retry with exponential backoff (10s → 20s → 40s)
  And maximum 3 retry attempts must be allowed","[ ] Worker runs 6 hours after device restart
[ ] All statuses recalculated after boot
[ ] Retry policy with exponential backoff (10s → 20s → 40s)
[ ] Maximum 3 retry attempts"
"M-07-Ticket-01: Unit Tests for Domain Layer (TDD)","Write comprehensive unit tests for all use cases (≥90% coverage).",High,Testing,"Scenario: ParseExpiryDateUseCase passes all edge cases
  Given unit tests cover valid MM/YY formats (01/01 - 12/99)
  When tests run
  Then all tests must pass
  And code coverage must be ≥90%

Scenario: CalculateStatusUseCase passes boundary tests
  Given unit tests cover exact thresholds (90d, 30d, 15d)
  When tests run
  Then boundary conditions must be correct
  And GREEN status must be >90d (not >=90d)","[ ] RegisterProductUseCase: 5+ test scenarios
[ ] ParseExpiryDateUseCase: 3+ test scenarios
[ ] CalculateStatusUseCase: 5+ test scenarios
[ ] UpsertStockUseCase: 3+ test scenarios
[ ] GetSemaphoreCountersUseCase: 3+ test scenarios
[ ] Overall coverage ≥90%"
"M-07-Ticket-02: Room Integration Tests","Write integration tests for DAOs using in-memory database.",Medium,Testing,"Scenario: ActiveStockDao upsert test passes
  Given in-memory database is created
  When upsertStock is called with existing batch
  Then quantity must be aggregated correctly
  And no duplicate records must exist

Scenario: SemaphoreCounters query returns correct values
  Given database contains mixed statuses
  When getSemaphoreCounters is called
  Then result must match actual COUNT(*) queries","[ ] ProductCatalogDao: findByEan(), insertOrReplace()
[ ] ActiveStockDao: upsertStock(), getByStatus(), getSemaphoreCounters(), updateStatus()
[ ] DateConverter: fromTimestamp(), toTimestamp()
[ ] All tests use in-memory database
[ ] Tests run in <5 seconds"
"M-07-Ticket-03: UI Tests with Compose Testing","Write UI tests for critical flows (scanner, dashboard, product registration).",Medium,Testing,"Scenario: Scanner screen test passes
  Given Compose test rule is set up
  When user clicks ""Scan"" button
  Then confirmation dialog must appear
  And product details must be displayed correctly

Scenario: Dashboard screen test passes
  Given Compose test rule is set up
  When dashboard loads
  Then semaphore counters must be displayed
  And counters must show correct values","[ ] ProductRegistrationBottomSheet: renders correctly, auto-focus, validation, tap targets (48dp+)
[ ] ScannerScreen: handles ProductNotFound state, shows Bottom Sheet
[ ] DashboardScreen: displays counters, filters list
[ ] HistoryScreen: search, filter, sort functionality
[ ] All UI tests pass"
"M-08-Ticket-01: GitHub Actions Build Pipeline","Create GitHub Actions workflow for automated builds and tests.",Medium,Infrastructure,"Scenario: Pipeline runs on push to main
  Given push event triggers workflow
  When workflow runs
  Then all unit tests must execute
  And build must succeed in ≤5 minutes

Scenario: Pipeline runs on pull request
  Given pull request is opened
  When workflow runs
  Then all tests must execute
  And build must pass before merge is allowed","[ ] Pipeline runs on push to main
[ ] Pipeline runs on pull request
[ ] All unit tests execute
[ ] All integration tests execute
[ ] Build succeeds in ≤5 minutes
[ ] Build artifacts (APK) generated"
"M-08-Ticket-02: Direct APK Deployment Flow","Document and automate APK installation process for XCover7 devices.",Medium,Infrastructure,"Scenario: APK installs on XCover7 without errors
  Given APK is downloaded to XCover7 device
  When user taps APK file
  Then installation must succeed
  And app must launch successfully

Scenario: Version update overwrites previous version
  Given app version 1.0.0 is installed
  When APK version 1.0.1 is installed
  Then data must be preserved (Room database migration)
  And app must launch with new version","[ ] APK installs on XCover7 without errors
[ ] App launches successfully after installation
[ ] Version update overwrites previous version
[ ] Data preserved (Room database migration)
[ ] Documentation created for deployment process"
